项目指令,用户名称,,country,province,city,district,formatted_address,level,location
T5679,延长石油,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5116,山西晋煤华昱,,中国,山西省,暂无数据,暂无数据,山西省,省,"112.562398,37.873531"
T5077,神华宁煤,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B08,新疆天业汇合新材料,,中国,新疆维吾尔自治区,暂无数据,暂无数据,新疆维吾尔自治区,省,"87.627704,43.793026"
T6E54,东营威联化学,,中国,山东省,东营市,暂无数据,山东省东营市,市,"118.674767,37.434751"
T6A24,延长石油,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT6C96,印度,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
G1001,昆山协鑫,,中国,江苏省,苏州市,昆山市,江苏省苏州市昆山市昆山,兴趣点,"120.974177,31.341479"
T5966,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5319/20,华能罗源电厂,,中国,福建省,福州市,罗源县,福建省福州市罗源县华能罗源电厂,兴趣点,"119.771351,26.406268"
T6B91/92,中电投常熟电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T8417/18/48/49/70/71/98/99,辽宁阜新,,中国,辽宁省,阜新市,暂无数据,辽宁省阜新市,市,"121.670323,42.021619"
C232,无锡703所,,中国,江苏省,无锡市,暂无数据,江苏省无锡市,市,"120.311910,31.491169"
T6C00/01,海宁热电,,中国,浙江省,嘉兴市,平湖市,浙江省嘉兴市平湖市热电,兴趣点,"121.213250,30.670800"
T5652,山西潞安发电,,中国,山西省,暂无数据,暂无数据,山西省,省,"112.562398,37.873531"
T5345,安徽萧县林平纸业,,中国,安徽省,宿州市,萧县,安徽省宿州市萧县林平纸业,兴趣点,"116.943736,34.292114"
WT6C97,巴基斯坦项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
G1009/1010,江苏华峰,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T6C61,广东佛山佳利达,,中国,广东省,佛山市,三水区,广东省佛山市三水区佳利达,兴趣点,"112.933066,23.438250"
T8201/02/03/04,北仑电厂,,中国,浙江省,宁波市,北仑区,浙江省宁波市北仑区北仑电厂,兴趣点,"121.811573,29.937430"
T5814,中盐金坛,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
